GENE	TCGA-OR-A5J1	TCGA-OR-A5J2	TCGA-OR-A5J3
ADAMTS14	8.1652	16.5078	12.4426
ADAMTS15	0.0000	2.8184	1.1850
ADAMTS16	0.0000	0.8053	0.0000
ADAMTS17	3.3622	6.0395	79.3956
ADAMTS18	0.4803	12.4815	1.7775
ADAMTS19	6.2440	0.0000	0.0000
ADAMTS1	377.0413	1453.4957	777.9588
ADAMTS20	0.0000	1.6105	24.8852
ADAMTS2	9.1258	58.7840	44.4379
ADAMTS3	294.9087	116.3602	130.3511
ADAMTS4	130.1633	649.8454	420.6784
ADAMTS5	19.6926	107.5023	158.1988
ADAMTS6	21.6138	4.8316	40.8828
ADAMTS7	102.7858	1618.1715	584.2097
ADAMTS8	0.4803	2.4158	0.5925
ADAMTS9	382.8050	435.2434	503.6291
ADAMTSL1	54.7550	1305.7303	15.9976
ADAMTSL2	153.2181	272.9834	99.5408
ADAMTSL3	15.8501	162.6627	24.2927
ADAMTSL4	17.7714	34.6262	26.6627
ADAMTSL5	45.6292	52.3419	16.5901
ADAP1	40.2017	81.9071	221.3065
ADAP2	83.0932	53.1472	42.0678
ADARB1	159.9424	385.7199	338.9128
ADARB2	0.4803	0.0000	0.0000
ADAR	3315.0817	10011.0019	3548.5113
ADAT1	74.9280	549.1878	307.5100
ADAT2	178.1940	93.4102	127.3885
ADAT3	110.9510	24.1578	45.6229
ADA	41.7867	115.9576	269.5897
ADCK1	131.1239	190.4442	436.0835
ADCK2	603.2805	1536.4375	852.6144
ADCK4	1402.4976	446.5171	1845.6525
ADCK5	319.4044	174.7416	249.4445
ADCY10	0.4803	0.8053	3.5550
ADCY1	15.3698	31.4052	45.6229
ADCY2	0.0000	23.7552	4.1475
ADCY3	120.6388	2660.3642	1515.7814
ADCY4	99.4236	143.3364	27.2552
ADCY5	10.0865	31.8078	8.2951
ADCY6	1497.5985	4438.1947	2244.4082
ADCY7	183.4774	281.0360	117.3160
ADCY8	0.0000	0.4026	1203.9698
ADCY9	1045.1489	845.9264	537.9944
ADCYAP1R1	0.0000	0.0000	20.7377
ADCYAP1	0.0000	3.2210	65.7680
ADC	57.6369	39.8604	167.0864
ADD1	4542.7474	5474.1627	3055.5473
ADD2	2.8818	3.6237	37.3278
ADD3	414.9856	638.5718	148.7187
ADH1A	0.4803	1.2079	0.0000
ADH1B	75.4083	225.0704	481.1139
ADH1C	37.9443	0.0000	0.0000
ADH4	0.0000	0.0000	0.5925
ADH5	3030.7397	2584.4844	1667.3085
ADH6	0.0000	0.0000	0.0000
ADH7	0.0000	0.0000	0.0000
ADHFE1	217.0989	79.3182	17.7751
ADI1	4317.9635	1488.5245	3145.6081
ADIG	0.0000	0.0000	0.0000
ADIPOQ	0.0000	0.0000	0.0000
ADIPOR1	3244.9568	4810.6278	2151.9775
ADIPOR2	3028.8184	4442.6237	7624.3519
ADK	313.1604	261.7097	261.2946
ADM2	11.0471	551.6036	20.1452
ADM	123.4390	97.4366	202.6366
ADNP2	361.6715	693.7322	350.1703
ADNP	1452.4496	2917.0571	1506.1472
ADORA1	11.0471	80.1234	96.5783
ADORA2A	53.7944	68.4472	59.8430
ADORA2B	3.8425	14.4947	248.8520
ADORA3	267.0509	21.7420	55.6955
ADO	828.5303	896.6579	857.9470
ADPGK	1058.1844	1288.2642	1199.2297
ADPRHL1	20.6532	146.1548	71.6931
ADPRHL2	1654.1787	801.6371	1681.5287
ADPRH	94.6206	123.6075	142.7937
ADRA1A	0.0000	0.4026	0.0000
ADRA1B	1.9212	59.1867	72.2856
ADRA1D	0.9606	2.4158	4.1475
ADRA2A	84.5341	1368.5407	8.8876
ADRA2B	164.7454	103.0734	47.4004
ADRA2C	22.5744	121.9970	143.3862
ADRB1	0.9606	0.4026	1.1850
ADRB2	4.8031	4.0263	6.5176
ADRB3	0.0000	0.4026	123.2410
ADRBK1	2280.4995	1913.7022	2515.7754
ADRBK2	71.5658	79.3182	346.0228
ADRM1	3008.1652	2789.0207	4307.5100
ADSL	467.8194	854.7843	540.3644
ADSSL1	77.3295	72.4735	2639.0164
ADSS	1134.0058	2108.1727	838.3943
AEBP1	471.1816	1758.6895	251.8145
AEBP2	842.4592	1689.4371	1224.1149
AEN	1332.8530	205.3415	1118.6491
AES	22499.0394	13970.4691	16257.1471
AFAP1L1	172.9107	571.3325	95.9858
AFAP1L2	36.9837	49.1209	17.7751
AFAP1	328.0500	496.6083	184.8615
AFARP1	0.4803	1.6105	11.2576
AFF1	1428.9145	1707.5555	1296.9930
AFF2	16.3305	4.0263	821.2117
AFF3	1782.9011	2962.5544	43.2529
AFF4	3185.3987	5178.2294	3716.1902
AFG3L1	528.3381	133.2707	308.1025
AFG3L2	1064.6110	1587.3260	1233.6720
AFMID	85.0144	123.6075	359.6504
AFM	0.0000	0.0000	0.0000
